OBJECTID,break_date,pipe_size,pipe_depth_ft,soil_type,repair_time_minutes
537,1970/01/01 00:00:00+00,NA,NA,NA,NA
538,1970/01/01 00:00:00+00,NA,NA,NA,NA
539,1970/01/01 00:00:00+00,NA,NA,NA,NA
540,1970/01/01 00:00:00+00,NA,NA,NA,NA
541,1970/01/01 00:00:00+00,NA,NA,NA,NA
542,1970/01/01 00:00:00+00,NA,NA,NA,NA
543,1970/01/01 00:00:00+00,NA,NA,NA,NA
544,1970/01/01 00:00:00+00,NA,NA,NA,NA
545,1970/01/01 00:00:00+00,NA,NA,NA,NA
546,1970/01/01 00:00:00+00,NA,NA,NA,NA
547,1970/01/01 00:00:00+00,NA,NA,NA,NA
548,1970/01/01 00:00:00+00,NA,NA,NA,NA
549,1970/01/01 00:00:00+00,NA,NA,NA,NA
550,1970/01/01 00:00:00+00,NA,NA,NA,NA
551,1970/01/01 00:00:00+00,NA,NA,NA,NA
552,1970/01/01 00:00:00+00,NA,NA,NA,NA
553,1970/01/01 00:00:00+00,NA,NA,NA,NA
554,1970/01/01 00:00:00+00,NA,NA,NA,NA
556,1970/01/01 00:00:00+00,NA,NA,NA,NA
557,1970/01/01 00:00:00+00,NA,NA,NA,NA
558,1970/01/01 00:00:00+00,NA,NA,NA,NA
559,1970/01/01 00:00:00+00,NA,NA,NA,NA
567,1970/01/01 00:00:00+00,NA,NA,NA,NA
568,1970/01/01 00:00:00+00,NA,NA,NA,NA
569,1970/01/01 00:00:00+00,NA,NA,NA,NA
570,1970/01/01 00:00:00+00,NA,NA,NA,NA
572,1970/01/01 00:00:00+00,NA,NA,NA,NA
573,1970/01/01 00:00:00+00,NA,NA,NA,NA
574,1970/01/01 00:00:00+00,NA,NA,NA,NA
579,1970/01/01 00:00:00+00,NA,NA,NA,NA
582,1970/01/01 00:00:00+00,NA,NA,NA,NA
583,1970/01/01 00:00:00+00,NA,NA,NA,NA
584,1970/01/01 00:00:00+00,NA,NA,NA,NA
586,1970/01/01 00:00:00+00,NA,NA,NA,NA
587,1970/01/01 00:00:00+00,NA,NA,NA,NA
588,1970/01/01 00:00:00+00,NA,NA,NA,NA
594,1970/01/01 00:00:00+00,NA,NA,NA,NA
595,1970/01/01 00:00:00+00,NA,NA,NA,NA
596,1970/01/01 00:00:00+00,NA,NA,NA,NA
597,1970/01/01 00:00:00+00,NA,NA,NA,NA
598,1970/01/01 00:00:00+00,NA,NA,NA,NA
599,1970/01/01 00:00:00+00,NA,NA,NA,NA
600,1970/01/01 00:00:00+00,NA,NA,NA,NA
601,1970/01/01 00:00:00+00,NA,NA,NA,NA
602,1970/01/01 00:00:00+00,NA,NA,NA,NA
603,1970/01/01 00:00:00+00,NA,NA,NA,NA
604,1970/01/01 00:00:00+00,NA,NA,NA,NA
605,1970/01/01 00:00:00+00,NA,NA,NA,NA
606,1970/01/01 00:00:00+00,NA,NA,NA,NA
607,1970/01/01 00:00:00+00,NA,NA,NA,NA
608,1970/01/01 00:00:00+00,NA,NA,NA,NA
609,1970/01/01 00:00:00+00,NA,NA,NA,NA
610,1970/01/01 00:00:00+00,NA,NA,NA,NA
611,1970/01/01 00:00:00+00,NA,NA,NA,NA
612,1970/01/01 00:00:00+00,NA,NA,NA,NA
613,1970/01/01 00:00:00+00,NA,NA,NA,NA
614,1970/01/01 00:00:00+00,NA,NA,NA,NA
615,1970/01/01 00:00:00+00,NA,NA,NA,NA
616,1970/01/01 00:00:00+00,NA,NA,NA,NA
617,1970/01/01 00:00:00+00,NA,NA,NA,NA
618,1970/01/01 00:00:00+00,NA,NA,NA,NA
619,1970/01/01 00:00:00+00,NA,NA,NA,NA
620,1970/01/01 00:00:00+00,NA,NA,NA,NA
621,1970/01/01 00:00:00+00,NA,NA,NA,NA
622,1970/01/01 00:00:00+00,NA,NA,NA,NA
