planet,method,year,number,radius,mass,facility
HD 102195 b,Radial Velocity,2006,1,NA,130.3103,Kitt Peak National Observatory
HD 102272 b,Radial Velocity,2008,1,NA,1570.0802,McDonald Observatory
HD 102329 b,Radial Velocity,2011,2,NA,2593.4928,W. M. Keck Observatory
HD 102329 c,Radial Velocity,2018,2,NA,483.1016,W. M. Keck Observatory
HD 102365 b,Radial Velocity,2010,1,NA,16,Anglo-Australian Telescope
HD 102843 b,Radial Velocity,2019,1,NA,113.9,Las Campanas Observatory
HD 102956 b,Radial Velocity,2010,1,NA,305.1168,W. M. Keck Observatory
HD 103197 b,Radial Velocity,2009,1,NA,28.6047,La Silla Observatory
HD 103720 b,Radial Velocity,2014,1,NA,197.046,La Silla Observatory
HD 103774 b,Radial Velocity,2013,1,NA,116,La Silla Observatory
HD 103949 b,Radial Velocity,2019,1,NA,11.2,Las Campanas Observatory
HD 104067 b,Radial Velocity,2009,1,NA,50.8528,La Silla Observatory
HD 10442 b,Radial Velocity,2014,1,NA,472.61321,W. M. Keck Observatory
HD 104985 b,Radial Velocity,2003,1,NA,2637.9,Okayama Astrophysical Observatory
HD 106252 b,Radial Velocity,2002,1,NA,2202.5619,Lick Observatory
HD 106270 b,Radial Velocity,2011,1,NA,3219.6179,W. M. Keck Observatory
HD 106315 b,Transit,2017,2,2.44,12.6,K2
HD 106315 c,Transit,2017,2,4.35,15.2,K2
HD 10647 b,Radial Velocity,2006,1,NA,298.75,W. M. Keck Observatory
HD 106515 A b,Radial Velocity,2012,1,NA,3054.22,La Silla Observatory
HD 106906 b,Imaging,2013,1,NA,3496,Las Campanas Observatory
HD 10697 b,Radial Velocity,1999,1,NA,2028.70889,W. M. Keck Observatory
HD 107148 b,Radial Velocity,2005,1,NA,66.741,W. M. Keck Observatory
HD 108147 b,Radial Velocity,2002,1,NA,82.95,La Silla Observatory
HD 108341 b,Radial Velocity,2014,1,NA,1112.4,La Silla Observatory
HD 108863 b,Radial Velocity,2011,1,NA,767.24162,W. M. Keck Observatory
HD 108874 b,Radial Velocity,2002,2,NA,451.3186,W. M. Keck Observatory
HD 108874 c,Radial Velocity,2005,2,NA,314.64,W. M. Keck Observatory
HD 109246 b,Radial Velocity,2010,1,NA,273.3338,Haute-Provence Observatory
HD 109271 b,Radial Velocity,2013,2,NA,17.162,La Silla Observatory
HD 109271 c,Radial Velocity,2013,2,NA,24.154,La Silla Observatory
HD 109749 b,Radial Velocity,2005,1,NA,85.8141,W. M. Keck Observatory
HD 110014 b,Radial Velocity,2009,1,NA,3524.59,La Silla Observatory
HD 111232 b,Radial Velocity,2003,1,NA,2269.3062,La Silla Observatory
HD 111591 b,Radial Velocity,2017,1,NA,1398.452,Multiple Observatories
HD 111998 b,Radial Velocity,2016,1,NA,1433.4133,La Silla Observatory
HD 113337 b,Radial Velocity,2013,1,NA,899.42,Haute-Provence Observatory
HD 113538 b,Radial Velocity,2010,2,NA,114.41,La Silla Observatory
HD 113538 c,Radial Velocity,2010,2,NA,295.57,La Silla Observatory
HD 113996 b,Radial Velocity,2017,1,NA,2002.329,Bohyunsan Optical Astronomical Observatory
HD 114386 b,Radial Velocity,2003,1,NA,362.3262,La Silla Observatory
HD 114613 b,Radial Velocity,2014,1,NA,113.46531,Anglo-Australian Telescope
HD 114729 b,Radial Velocity,2002,1,NA,262.20975,W. M. Keck Observatory
HD 114762 b,Radial Velocity,1989,1,NA,3397.6027,Oak Ridge Observatory
HD 114783 b,Radial Velocity,2001,2,NA,349.6,W. M. Keck Observatory
HD 114783 c,Radial Velocity,2018,2,NA,194.19413,W. M. Keck Observatory
HD 11506 b,Radial Velocity,2007,2,NA,1535.1189,W. M. Keck Observatory
HD 11506 c,Radial Velocity,2008,2,NA,129.67464,W. M. Keck Observatory
HD 116029 b,Radial Velocity,2011,2,NA,444.962,W. M. Keck Observatory
HD 116029 c,Radial Velocity,2018,2,NA,403.6441,W. M. Keck Observatory
HD 117207 b,Radial Velocity,2004,1,NA,612.14058,W. M. Keck Observatory
HD 11755 b,Radial Velocity,2015,1,NA,1789.3829,Bohyunsan Optical Astronomical Observatory
HD 117618 b,Radial Velocity,2004,1,NA,55.30242,Anglo-Australian Telescope
HD 118203 b,Radial Velocity,2005,1,NA,886.7457,Haute-Provence Observatory
HD 11964 b,Radial Velocity,2005,2,NA,198,W. M. Keck Observatory
HD 11964 c,Radial Velocity,2008,2,NA,25,W. M. Keck Observatory
HD 11977 b,Radial Velocity,2005,1,NA,2080,La Silla Observatory
HD 120084 b,Radial Velocity,2013,1,NA,1430.2,Okayama Astrophysical Observatory
HD 121504 b,Radial Velocity,2003,1,NA,479.9233,La Silla Observatory
HD 12484 b,Radial Velocity,2016,1,NA,947.1334,Haute-Provence Observatory
HD 125390 b,Radial Velocity,2019,1,NA,7043.1128,W. M. Keck Observatory
HD 125595 b,Radial Velocity,2009,1,NA,6.3566,La Silla Observatory
HD 125612 b,Radial Velocity,2007,3,NA,985.273,W. M. Keck Observatory
HD 125612 c,Radial Velocity,2009,3,NA,17.48065,La Silla Observatory
HD 125612 d,Radial Velocity,2009,3,NA,2313.8024,La Silla Observatory
HD 12648 b,Radial Velocity,2015,1,NA,622.9468,Bohyunsan Optical Astronomical Observatory
HD 126525 b,Radial Velocity,2018,1,NA,75.32571,La Silla Observatory
HD 12661 b,Radial Velocity,2000,2,NA,772.3269,Multiple Observatories
HD 12661 c,Radial Velocity,2002,2,NA,575.884,Multiple Observatories
HD 126614 b,Radial Velocity,2009,1,NA,130.3103,W. M. Keck Observatory
HD 128311 b,Radial Velocity,2002,2,NA,562.24127,W. M. Keck Observatory
HD 128311 c,Radial Velocity,2005,2,NA,1204.25787,W. M. Keck Observatory
HD 128356 b,Radial Velocity,2016,1,NA,282.8687,Multiple Observatories
HD 129445 b,Radial Velocity,2009,1,NA,508.507,Las Campanas Observatory
HD 130322 b,Radial Velocity,1999,1,NA,365.49,La Silla Observatory
HD 131496 b,Radial Velocity,2011,1,NA,572.094,W. M. Keck Observatory
HD 131664 b,Radial Velocity,2008,1,NA,6076.9096,La Silla Observatory
HD 13167 b,Radial Velocity,2018,1,NA,1052.0173,W. M. Keck Observatory
HD 13189 b,Radial Velocity,2005,1,NA,3480.2385,Thueringer Landessternwarte Tautenburg
HD 132406 b,Radial Velocity,2007,1,NA,1709.9254,Haute-Provence Observatory
HD 132563 b,Radial Velocity,2011,1,NA,473.547,Roque de los Muchachos Observatory
HD 133131 A b,Radial Velocity,2016,3,NA,451.3186,Las Campanas Observatory
HD 133131 A c,Radial Velocity,2016,3,NA,133.4886,Las Campanas Observatory
HD 133131 B b,Radial Velocity,2016,3,NA,794.575,Las Campanas Observatory
HD 134060 b,Radial Velocity,2019,2,NA,10.1,La Silla Observatory
HD 134060 c,Radial Velocity,2019,2,NA,29.29,La Silla Observatory
HD 134987 b,Radial Velocity,1999,2,NA,511.7063,W. M. Keck Observatory
HD 134987 c,Radial Velocity,2009,2,NA,260,Multiple Observatories
HD 136352 b,Radial Velocity,2019,3,NA,4.81,La Silla Observatory
HD 136352 c,Radial Velocity,2019,3,NA,10.8,La Silla Observatory
HD 136352 d,Radial Velocity,2019,3,NA,8.58,La Silla Observatory
HD 136418 b,Radial Velocity,2009,1,NA,680.1562,W. M. Keck Observatory
HD 13724 b,Radial Velocity,2019,1,NA,8508.3091,La Silla Observatory
HD 137388 b,Radial Velocity,2011,1,NA,63.566,La Silla Observatory
HD 13908 b,Radial Velocity,2013,2,NA,274.91,Haute-Provence Observatory
HD 13908 c,Radial Velocity,2013,2,NA,1630.4,Haute-Provence Observatory
HD 13931 b,Radial Velocity,2009,1,NA,699.226,W. M. Keck Observatory
HD 139357 b,Radial Velocity,2008,1,NA,3101.89,Thueringer Landessternwarte Tautenburg
HD 1397 b,Transit,2018,1,11.5,131.89945,Transiting Exoplanet Survey Satellite (TESS)
HD 14067 b,Radial Velocity,2014,1,NA,2479,Okayama Astrophysical Observatory
HD 141399 b,Radial Velocity,2014,4,NA,143.34133,Multiple Observatories
HD 141399 c,Radial Velocity,2014,4,NA,422.7139,Multiple Observatories
HD 141399 d,Radial Velocity,2014,4,NA,375.0394,Multiple Observatories
HD 141399 e,Radial Velocity,2014,4,NA,209.7678,Multiple Observatories
HD 141937 b,Radial Velocity,2002,1,NA,3079.7727,La Silla Observatory
HD 142 b,Radial Velocity,2001,2,NA,397.27,Anglo-Australian Telescope
HD 142 c,Radial Velocity,2012,2,NA,1684.4,Anglo-Australian Telescope
HD 142022 A b,Radial Velocity,2005,1,NA,1411.1652,La Silla Observatory
HD 142245 b,Radial Velocity,2011,1,NA,975.7381,W. M. Keck Observatory
HD 142415 b,Radial Velocity,2003,1,NA,530.7761,La Silla Observatory
HD 143105 b,Radial Velocity,2016,1,NA,384.5743,Haute-Provence Observatory
HD 143361 b,Radial Velocity,2008,1,NA,1122.57556,Las Campanas Observatory
HD 145377 b,Radial Velocity,2008,1,NA,1913.3366,La Silla Observatory
HD 145457 b,Radial Velocity,2010,1,NA,708.7609,Subaru Telescope
HD 145934 b,Radial Velocity,2015,1,NA,724.62,W. M. Keck Observatory
HD 1461 b,Radial Velocity,2010,2,NA,6.44,W. M. Keck Observatory
HD 1461 c,Radial Velocity,2015,2,NA,5.59,La Silla Observatory
HD 147018 b,Radial Velocity,2009,2,NA,674,La Silla Observatory
HD 147018 c,Radial Velocity,2009,2,NA,2080,La Silla Observatory
HD 147379 b,Radial Velocity,2017,1,NA,28.55,Calar Alto Observatory
HD 147513 b,Radial Velocity,2003,1,NA,385,La Silla Observatory
HD 14787 b,Radial Velocity,2018,1,NA,356.28743,W. M. Keck Observatory
HD 147873 b,Radial Velocity,2016,2,NA,1633.6462,Multiple Observatories
HD 147873 c,Radial Velocity,2016,2,NA,731.009,Multiple Observatories
HD 148156 b,Radial Velocity,2009,1,NA,270.144,La Silla Observatory
HD 148164 b,Radial Velocity,2018,2,NA,390.9309,W. M. Keck Observatory
HD 148164 c,Radial Velocity,2018,2,NA,1640.0028,W. M. Keck Observatory
HD 148284 b,Radial Velocity,2018,1,NA,10710.871,W. M. Keck Observatory
HD 148427 b,Radial Velocity,2009,1,NA,413.179,Lick Observatory
HD 149026 b,Radial Velocity,2005,1,8.295,120.7754,Subaru Telescope
HD 149143 b,Radial Velocity,2005,1,NA,422.7139,Haute-Provence Observatory
HD 1502 b,Radial Velocity,2011,1,NA,874.0325,W. M. Keck Observatory
HD 150706 b,Radial Velocity,2012,1,NA,861.28,Haute-Provence Observatory
HD 152079 b,Radial Velocity,2009,1,NA,845.74563,Las Campanas Observatory
HD 152581 b,Radial Velocity,2011,1,NA,594.02427,W. M. Keck Observatory
HD 15337 b,Transit,2019,2,1.64,7.51,Transiting Exoplanet Survey Satellite (TESS)
HD 15337 c,Transit,2019,2,2.39,8.11,Transiting Exoplanet Survey Satellite (TESS)
HD 153950 b,Radial Velocity,2008,1,NA,937.5985,La Silla Observatory
HD 154345 b,Radial Velocity,2006,1,NA,260.6206,W. M. Keck Observatory
HD 154672 b,Radial Velocity,2008,1,NA,1706.7471,Las Campanas Observatory
HD 154857 b,Radial Velocity,2004,2,NA,778.6835,Anglo-Australian Telescope
HD 154857 c,Radial Velocity,2014,2,NA,819.97,Anglo-Australian Telescope
HD 155233 b,Radial Velocity,2015,1,NA,826.358,Anglo-Australian Telescope
HD 155358 b,Radial Velocity,2007,2,NA,314.6517,McDonald Observatory
HD 155358 c,Radial Velocity,2007,2,NA,261,McDonald Observatory
HD 156279 b,Radial Velocity,2011,2,NA,3140.1604,Haute-Provence Observatory
HD 156279 c,Radial Velocity,2018,2,NA,2733.338,W. M. Keck Observatory
HD 156411 b,Radial Velocity,2009,1,NA,235.18,La Silla Observatory
HD 156668 b,Radial Velocity,2010,1,NA,4.15,W. M. Keck Observatory
HD 156846 b,Radial Velocity,2007,1,NA,3391.2461,La Silla Observatory
HD 158038 b,Radial Velocity,2011,1,NA,486.2799,W. M. Keck Observatory
HD 158259 b,Radial Velocity,2020,5,NA,2.22,Haute-Provence Observatory
HD 158259 c,Radial Velocity,2020,5,NA,5.6,Haute-Provence Observatory
HD 158259 d,Radial Velocity,2020,5,NA,5.41,Haute-Provence Observatory
HD 158259 e,Radial Velocity,2020,5,NA,6.08,Haute-Provence Observatory
HD 158259 f,Radial Velocity,2020,5,NA,6.14,Haute-Provence Observatory
HD 158996 b,Radial Velocity,2018,1,NA,4449.62,Bohyunsan Optical Astronomical Observatory
HD 159243 b,Radial Velocity,2013,2,NA,359.13,Haute-Provence Observatory
HD 159243 c,Radial Velocity,2013,2,NA,603.9,Haute-Provence Observatory
HD 159868 b,Radial Velocity,2006,2,NA,704.94694,Anglo-Australian Telescope
HD 159868 c,Radial Velocity,2012,2,NA,244.09344,Anglo-Australian Telescope
HD 1605 b,Radial Velocity,2015,2,NA,296.85322,Multiple Observatories
HD 1605 c,Radial Velocity,2015,2,NA,1150.5446,Multiple Observatories
HD 160691 b,Radial Velocity,2000,4,NA,532.68308,Anglo-Australian Telescope
HD 160691 c,Radial Velocity,2004,4,NA,576.519,Anglo-Australian Telescope
HD 160691 d,Radial Velocity,2004,4,NA,10.5547,La Silla Observatory
HD 160691 e,Radial Velocity,2006,4,NA,165.8685,La Silla Observatory
HD 16141 b,Radial Velocity,2000,1,NA,82.6358,W. M. Keck Observatory
HD 16175 b,Radial Velocity,2009,1,NA,1620.933,Lick Observatory
HD 162020 b,Radial Velocity,2002,1,NA,3127.4472,La Silla Observatory
HD 163607 b,Radial Velocity,2010,2,NA,249.05159,W. M. Keck Observatory
HD 163607 c,Radial Velocity,2010,2,NA,699.54383,W. M. Keck Observatory
HD 16417 b,Radial Velocity,2008,1,NA,22.1,Anglo-Australian Telescope
HD 164509 b,Radial Velocity,2010,1,NA,140.79869,W. M. Keck Observatory
HD 164595 b,Radial Velocity,2015,1,NA,16.14,Haute-Provence Observatory
HD 164604 b,Radial Velocity,2009,1,NA,635,Las Campanas Observatory
HD 164922 b,Radial Velocity,2005,3,NA,116,W. M. Keck Observatory
HD 164922 c,Radial Velocity,2016,3,NA,13,Multiple Observatories
HD 164922 d,Radial Velocity,2020,3,NA,4,Roque de los Muchachos Observatory
HD 165155 b,Radial Velocity,2016,1,NA,918.5287,Multiple Observatories
HD 1666 b,Radial Velocity,2015,1,NA,2040,Multiple Observatories
HD 166724 b,Radial Velocity,2012,1,NA,1121.89,La Silla Observatory
HD 167042 b,Radial Velocity,2007,1,NA,540.29,Lick Observatory
HD 168443 b,Radial Velocity,1998,2,NA,2434.157,W. M. Keck Observatory
HD 168443 c,Radial Velocity,2000,2,NA,5464.221,W. M. Keck Observatory
HD 168746 b,Radial Velocity,2002,1,NA,85.8141,La Silla Observatory
HD 1690 b,Radial Velocity,2010,1,NA,2793.7257,La Silla Observatory
HD 169830 b,Radial Velocity,2000,2,NA,915.31,La Silla Observatory
HD 169830 c,Radial Velocity,2003,2,NA,1283.98,La Silla Observatory
HD 170469 b,Radial Velocity,2007,1,NA,209.7678,W. M. Keck Observatory
HD 17092 b,Radial Velocity,2007,1,NA,3219.6179,McDonald Observatory
HD 171028 b,Radial Velocity,2007,1,NA,832.7146,La Silla Observatory
HD 171238 b,Radial Velocity,2009,1,NA,864.4976,La Silla Observatory
HD 17156 b,Radial Velocity,2007,1,12.33,1115.5833,Subaru Telescope
HD 173416 b,Radial Velocity,2008,1,NA,858.1,Xinglong Station
HD 175167 b,Radial Velocity,2009,1,NA,2850.9351,Las Campanas Observatory
HD 175541 b,Radial Velocity,2007,1,NA,190.06234,W. M. Keck Observatory
HD 175607 b,Radial Velocity,2015,1,NA,8.98,La Silla Observatory
HD 17674 b,Radial Velocity,2017,1,NA,276.5121,Haute-Provence Observatory
HD 176986 b,Radial Velocity,2017,2,NA,5.74,Multiple Observatories
HD 176986 c,Radial Velocity,2017,2,NA,9.18,Multiple Observatories
HD 177565 b,Radial Velocity,2017,1,NA,15.1,La Silla Observatory
HD 177830 b,Radial Velocity,1999,2,NA,537.1327,W. M. Keck Observatory
HD 177830 c,Radial Velocity,2010,2,NA,47.6725,W. M. Keck Observatory
HD 178911 B b,Radial Velocity,2001,1,NA,2552.1749,W. M. Keck Observatory
HD 179079 b,Radial Velocity,2008,1,NA,25.74423,W. M. Keck Observatory
HD 179949 b,Radial Velocity,2000,1,NA,291.12,Anglo-Australian Telescope
HD 180053 b,Radial Velocity,2018,1,NA,697.31902,W. M. Keck Observatory
HD 18015 b,Radial Velocity,2018,1,NA,1010.6994,W. M. Keck Observatory
HD 180314 b,Radial Velocity,2010,1,NA,6397.9179,Subaru Telescope
HD 180617 b,Radial Velocity,2018,1,NA,12.2,Calar Alto Observatory
HD 180902 b,Radial Velocity,2009,1,NA,535.54355,W. M. Keck Observatory
HD 181234 b,Radial Velocity,2019,1,NA,2660.2371,La Silla Observatory
HD 181342 b,Radial Velocity,2009,1,NA,807.2882,W. M. Keck Observatory
HD 181433 b,Radial Velocity,2008,3,NA,6.3566,La Silla Observatory
HD 181433 c,Radial Velocity,2008,3,NA,203,La Silla Observatory
HD 181433 d,Radial Velocity,2008,3,NA,171,La Silla Observatory
HD 181720 b,Radial Velocity,2009,1,NA,127.132,La Silla Observatory
HD 183263 b,Radial Velocity,2004,2,NA,1255.4285,W. M. Keck Observatory
HD 183263 c,Radial Velocity,2008,2,NA,1134.61,W. M. Keck Observatory
HD 185269 b,Radial Velocity,2006,1,NA,321.0083,Lick Observatory
HD 187085 b,Radial Velocity,2006,1,NA,265.70588,Anglo-Australian Telescope
HD 187123 b,Radial Velocity,1998,2,NA,166.218,W. M. Keck Observatory
HD 187123 c,Radial Velocity,2008,2,NA,632.46,W. M. Keck Observatory
HD 18742 b,Radial Velocity,2011,1,NA,1080.622,W. M. Keck Observatory
HD 188015 b,Radial Velocity,2004,1,NA,476.72,W. M. Keck Observatory
HD 189733 b,Radial Velocity,2005,1,12.666,359.1479,Haute-Provence Observatory
HD 190360 b,Radial Velocity,2003,2,NA,489.4582,Haute-Provence Observatory
HD 190360 c,Radial Velocity,2005,2,NA,19.069,W. M. Keck Observatory
HD 190647 b,Radial Velocity,2007,1,NA,630.89255,La Silla Observatory
HD 190984 b,Radial Velocity,2009,1,NA,985.2,La Silla Observatory
HD 191806 b,Radial Velocity,2016,1,NA,2707.9116,Haute-Provence Observatory
HD 191939 b,Transit,2020,3,3.42,NA,Transiting Exoplanet Survey Satellite (TESS)
HD 191939 c,Transit,2020,3,3.23,NA,Transiting Exoplanet Survey Satellite (TESS)
HD 191939 d,Transit,2020,3,3.16,NA,Transiting Exoplanet Survey Satellite (TESS)
HD 192263 b,Radial Velocity,1999,1,NA,177.9848,La Silla Observatory
HD 192310 b,Radial Velocity,2011,2,NA,16.9,La Silla Observatory
HD 192310 c,Radial Velocity,2011,2,NA,24,La Silla Observatory
HD 192699 b,Radial Velocity,2007,1,NA,666.17168,Lick Observatory
HD 195019 b,Radial Velocity,1998,1,NA,1264.9634,Lick Observatory
HD 196050 b,Radial Velocity,2002,1,NA,1010.6994,Anglo-Australian Telescope
HD 196067 b,Radial Velocity,2012,1,NA,2192.9,La Silla Observatory
HD 196885 A b,Radial Velocity,2007,1,NA,819.97,Haute-Provence Observatory
HD 197037 b,Radial Velocity,2012,1,NA,251,McDonald Observatory
HD 19994 b,Radial Velocity,2003,1,NA,435.41,La Silla Observatory
HD 20003 b,Radial Velocity,2019,2,NA,11.66,La Silla Observatory
HD 20003 c,Radial Velocity,2019,2,NA,14.44,La Silla Observatory
HD 200964 b,Radial Velocity,2010,2,NA,508.21017,Lick Observatory
HD 200964 c,Radial Velocity,2010,2,NA,385.84562,Lick Observatory
HD 202206 c,Radial Velocity,2004,1,NA,5689.157,La Silla Observatory
HD 202696 b,Radial Velocity,2019,2,NA,634.38868,W. M. Keck Observatory
HD 202696 c,Radial Velocity,2019,2,NA,592.43512,W. M. Keck Observatory
HD 202772 A b,Transit,2019,1,17.318,323.23311,Transiting Exoplanet Survey Satellite (TESS)
HD 203030 b,Imaging,2006,1,NA,7656.097,Palomar Observatory
HD 203473 b,Radial Velocity,2018,1,NA,2479.074,W. M. Keck Observatory
HD 2039 b,Radial Velocity,2002,1,NA,1999.1507,Anglo-Australian Telescope
HD 204313 b,Radial Velocity,2010,2,NA,1099.6918,La Silla Observatory
HD 204313 c,Radial Velocity,2015,2,NA,17.6,La Silla Observatory
HD 204941 b,Radial Velocity,2011,1,NA,73.1009,La Silla Observatory
HD 205739 b,Radial Velocity,2008,1,NA,435.41,Las Campanas Observatory
HD 206255 b,Radial Velocity,2019,1,NA,34.2,Las Campanas Observatory
HD 206610 b,Radial Velocity,2009,1,NA,647.10188,W. M. Keck Observatory
HD 20781 b,Radial Velocity,2019,5,NA,1.93,La Silla Observatory
HD 20781 c,Radial Velocity,2019,5,NA,5.33,La Silla Observatory
HD 20781 d,Radial Velocity,2019,5,NA,10.61,La Silla Observatory
HD 20781 e,Radial Velocity,2019,5,NA,14.03,La Silla Observatory
HD 20782 b,Radial Velocity,2006,5,NA,472.83,Anglo-Australian Telescope
HD 207832 b,Radial Velocity,2012,2,NA,177.9848,W. M. Keck Observatory
HD 207832 c,Radial Velocity,2012,2,NA,232.0159,W. M. Keck Observatory
HD 20794 b,Radial Velocity,2011,4,NA,2.7,La Silla Observatory
HD 20794 c,Radial Velocity,2011,4,NA,2.4,La Silla Observatory
HD 20794 d,Radial Velocity,2011,4,NA,4.8,La Silla Observatory
HD 20794 e,Radial Velocity,2017,4,NA,4.77,La Silla Observatory
HD 208487 b,Radial Velocity,2004,1,NA,165.265,Anglo-Australian Telescope
HD 208527 b,Radial Velocity,2012,1,NA,3146.4,Bohyunsan Optical Astronomical Observatory
HD 20868 b,Radial Velocity,2008,1,NA,397.2875,La Silla Observatory
HD 208897 b,Radial Velocity,2017,1,NA,444.962,Multiple Observatories
HD 209458 b,Radial Velocity,1999,1,15.581,232.0159,W. M. Keck Observatory
HD 210193 b,Radial Velocity,2019,1,NA,153.1,Las Campanas Observatory
HD 210277 b,Radial Velocity,1998,1,NA,410.0007,W. M. Keck Observatory
HD 210702 b,Radial Velocity,2007,1,NA,574.63664000000006,Lick Observatory
HD 211810 b,Radial Velocity,2018,1,NA,212.9461,W. M. Keck Observatory
HD 211970 b,Radial Velocity,2019,1,NA,13,Las Campanas Observatory
HD 212301 b,Radial Velocity,2005,1,NA,162.0933,La Silla Observatory
HD 212771 b,Radial Velocity,2009,1,NA,759.6137,W. M. Keck Observatory
HD 213240 b,Radial Velocity,2001,1,NA,1773.4914,La Silla Observatory
HD 213885 b,Transit,2019,2,1.745,8.83,Transiting Exoplanet Survey Satellite (TESS)
HD 213885 c,Radial Velocity,2019,2,NA,19.95,Multiple Observatories
HD 21411 b,Radial Velocity,2019,1,NA,65.9,Las Campanas Observatory
HD 214823 b,Radial Velocity,2016,1,NA,6451.949,Haute-Provence Observatory
HD 215152 b,Radial Velocity,2018,4,NA,1.819,La Silla Observatory
HD 215152 c,Radial Velocity,2018,4,NA,1.72,La Silla Observatory
HD 215152 d,Radial Velocity,2018,4,NA,2.801,La Silla Observatory
HD 215152 e,Radial Velocity,2018,4,NA,2.877,La Silla Observatory
HD 215497 b,Radial Velocity,2009,2,NA,6.3566,La Silla Observatory
HD 215497 c,Radial Velocity,2009,2,NA,104.3,La Silla Observatory
HD 216435 b,Radial Velocity,2002,1,NA,400.4,Anglo-Australian Telescope
HD 216437 b,Radial Velocity,2002,1,NA,706.53609,Anglo-Australian Telescope
HD 216536 b,Radial Velocity,2015,1,NA,333.7215,McDonald Observatory
HD 216770 b,Radial Velocity,2003,1,NA,181.1631,La Silla Observatory
HD 21693 b,Radial Velocity,2019,2,NA,8.23,La Silla Observatory
HD 21693 c,Radial Velocity,2019,2,NA,17.37,La Silla Observatory
HD 217107 b,Radial Velocity,1998,2,NA,413.179,Lick Observatory
HD 217107 c,Radial Velocity,2005,2,NA,826.32,Lick Observatory
HD 21749 c,Transit,2019,2,0.892,3.7,Transiting Exoplanet Survey Satellite (TESS)
HD 217786 b,Radial Velocity,2011,1,NA,4131.62,La Silla Observatory
HD 217850 b,Radial Velocity,2018,1,NA,6865.128,W. M. Keck Observatory
HD 218566 b,Radial Velocity,2010,1,NA,63.566,W. M. Keck Observatory
HD 219077 b,Radial Velocity,2012,1,NA,3302.11,La Silla Observatory
HD 219134 b,Radial Velocity,2015,6,1.602,4.74,Roque de los Muchachos Observatory
HD 219134 c,Radial Velocity,2015,6,1.511,4.36,Roque de los Muchachos Observatory
HD 219134 d,Radial Velocity,2015,6,1.61,16.17,Roque de los Muchachos Observatory
HD 219134 f,Radial Velocity,2015,6,1.31,7.3,Multiple Observatories
HD 219134 g,Radial Velocity,2015,6,NA,10.80622,Multiple Observatories
HD 219134 h,Radial Velocity,2015,6,NA,108.0622,Roque de los Muchachos Observatory
HD 219415 b,Radial Velocity,2012,1,NA,317.83,McDonald Observatory
HD 219666 b,Transit,2018,1,4.71,16.6,Transiting Exoplanet Survey Satellite (TESS)
HD 219828 b,Radial Velocity,2007,2,NA,20.97678,La Silla Observatory
HD 219828 c,Radial Velocity,2016,2,NA,4640.318,Multiple Facilities
HD 220074 b,Radial Velocity,2012,1,NA,5288.6912,Bohyunsan Optical Astronomical Observatory
HD 220197 b,Radial Velocity,2018,1,NA,63.566,Roque de los Muchachos Observatory
HD 220689 b,Radial Velocity,2012,1,NA,355.33394,La Silla Observatory
HD 220773 b,Radial Velocity,2011,1,NA,460.8,McDonald Observatory
HD 220842 b,Radial Velocity,2016,1,NA,1010.6994,Haute-Provence Observatory
HD 221287 b,Radial Velocity,2007,1,NA,982.05,La Silla Observatory
HD 221416 b,Transit,2019,1,9.17,60.5,Transiting Exoplanet Survey Satellite (TESS)
HD 221420 b,Radial Velocity,2019,1,NA,3082.951,Anglo-Australian Telescope
